Hobbies
Blacksmithing
Blogging
BMX
Board games
Board sports
BoardGames
Boating
Body Building
Bodybuilding
Bonsai Tree
Book collecting
Bookbinding
Boomerangs
Bowling
Boxing
Brazilian jiu-jitsu
Breakdancing
Brewing Beer
Bridge
Bridge Building
Bringing Food To The Disabled
Building Dollhouses
Bus spotting
Butterfly Watching
Button Collecting
Cake Decorating
Calligraphy
Camping
Candle making
Canoeing
Car Racing
Card collecting
Cartooning
Casino Gambling
Cave Diving
Ceramics
Cheerleading
Chess
Church/church activities
Cigar Smoking
Climbing
Cloud Watching
Coin Collecting
Collecting
Collecting Antiques
Collecting Artwork
Collecting Hats
Collecting Music Albums
Collecting RPM Records
Collecting Sports Cards
Collecting Swords
Color guard
Coloring
Comic book collecting
Compose Music
Computer activities
Computer programming
Conworlding
Cooking
Cosplay
Cosplaying
Couponing
Crafts
Creative writing
Cricket
Crochet
Crocheting
Cross-Stitch
Crossword Puzzles
Cryptography
Curling
Cycling
Dance
Dancing
Darts
Debate
Deltiology
Diecast Collectibles
Digital arts
Digital Photography
Disc golf
Do it yourself
Dodgeball
Dog sport
Dolls
Dominoes
Dowsing
Drama
Drawing
Driving
Dumpster Diving
Eating out
Educational Courses
Electronics
Element collecting
Embroidery
Entertaining
Equestrianism
aerobics
Exercise
Exhibition drill
Falconry
Fast cars
Felting
Fencing
Field hockey
Figure skating
Fire Poi
Fishing
Fishkeeping
Flag Football
Floorball
Floral Arrangements
Flower arranging
Flower collecting and pressing
Fly Tying
Flying
Footbag
Football
Foraging
Foreign language learning
Fossil hunting
Four Wheeling
Freshwater Aquariums
Frisbee Golf
Gambling
Games
Gaming
Garage Saleing
Gardening
Genealogy
Geocaching
Ghost hunting
Glassblowing
Glowsticking
Gnoming
Going to movies
Golf
Golfing
Gongoozling
Graffiti
Grip Strength
Guitar
Gun Collecting
Gunsmithing
Gymnastics
Gyotaku
Handball
Handwriting Analysis
Hang gliding
Herping
Hiking
Home Brewing
Home Repair
Home Theater
Homebrewing
Hooping
Horse riding
Hot air ballooning
Hula Hooping
Hunting
Ice hockey
Ice skating
Iceskating
Illusion
Impersonations
Inline skating
Insect collecting
Internet
Inventing
Jet Engines
Jewelry Making
Jigsaw Puzzles
Jogging
Judo
Juggling
Jukskei
Jump Roping
Kabaddi
Kart racing
Kayaking
Keep A Journal
Kitchen Chemistry
Kite Boarding
Kite flying
Kites
Kitesurfing
Knapping
Knife making
Knife throwing
Knitting
Knotting
Lacemaking
Lacrosse
Lapidary
LARPing
Laser tag
Lasers
Lawn Darts
Learn to Play Poker
Learning A Foreign Language
Learning An Instrument
Learning To Pilot A Plane
Leather crafting
Leathercrafting
Lego building
Legos
Letterboxing
Listening to music
Locksport
Machining
Macramé
Macrame
Magic
Mahjong
Making Model Cars
Marbles
Marksmanship
Martial arts
Matchstick Modeling
Meditation
Metal detecting
Meteorology
Microscopy
Mineral collecting
Model aircraft
Model building
Model Railroading
Model Rockets
Modeling Ships
Models
Motor sports
Motorcycles
Mountain Biking
Mountain Climbing
Mountaineering
Movie and movie memorabilia collecting
Mushroom hunting/Mycology
Musical Instruments
Nail Art
Needlepoint
Netball
Nordic skating
Orienteering
Origami
Owning An Antique Car
Paintball
Painting
Papermache
Papermaking
Parachuting
Paragliding or Power Paragliding
Parkour
People Watching
Photography
Piano
Pigeon racing
Pinochle
Pipe Smoking
Planking
Playing music
Playing musical instruments
Playing team sports
Poker
Pole Dancing
Polo
Pottery
Powerboking
Protesting
Puppetry
Puzzles
Pyrotechnics
Quilting
R/C Boats
R/C Cars
R/C Helicopters
R/C Planes
Racing Pigeons
Racquetball
Radio-controlled car racing
Rafting
Railfans
Rappelling
Rapping
Reading
Reading To The Elderly
Record collecting
Relaxing
Renaissance Faire
Renting movies
Rescuing Abused
 Abandoned Animals
Robotics
Rock balancing
Rock climbing
Rock Collecting
Rockets
Rocking AIDS Babies
Roleplaying
Roller derby
Roller skating
Rugby
Rugby league football
Running
Sailing
Saltwater Aquariums
Sand art
Sand Castles
Scrapbooking
Scuba diving
Sculling or Rowing
Sculpting
Sea glass collecting
Seashell collecting
Self Defense
Sewing
Shark Fishing
Shooting
Shooting sport
Shopping
Shortwave listening
Singing
Singing In Choir
Skateboarding
Skeet Shooting
Sketching
Skiing
Skimboarding
Sky Diving
Skydiving
Slack Lining
Slacklining
Sleeping
Slingshots
Slot car racing
Snorkeling
Snowboarding
Soap Making
Soapmaking
Socializing with friends/neighbors
Speed Cubing
Speed skating
Spelunkering
Spending time with family/kids
Sports
Squash
Stamp Collecting
Stand-up comedy
Stone collecting
Stone skipping
Storm Chasing
Storytelling
String Figures
Sudoku
Surf Fishing
Surfing
Survival
Swimming
Table football
Table tennis
Taekwondo
Tai chi
Tatting
Taxidermy
Tea Tasting
Tennis
Tesla Coils
Tetris
Textiles
Texting
Tombstone Rubbing
Tool Collecting
Tour skating
Toy Collecting
Train Collecting
Train Spotting
Trainspotting
Traveling
Treasure Hunting
Trekkie
Triathlon
Tutoring Children
TV watching
Ultimate Frisbee
Urban exploration
Vehicle restoration
Video game collecting
Video Games
Video gaming
Videophilia
Vintage cars
Violin
Volleyball
Volunteer
Walking
Warhammer
Watching movies
Watching sporting events
Water sports
Weather Watcher
Web surfing
Weightlifting
Windsurfing
Wine Making
Wood carving
Woodworking
Working In A Food Pantry
Working on cars
World Record Breaking
Worldbuilding
Wrestling
Writing
Writing Music
Writing Songs
Yo-yoing
Yoga
YoYo
Ziplining
Zumba
